DIAGNOSIS,count
RIGHT FLOOR OF MOUTH CANCER/SDA,1
FAILED DIALYSIS ACCESS;CHRONIC RENAL FAILURE,1
S/P HIT BY CAR;ETOH WITHDRAWAL,1
S/P KIDNEY TRANSPLANT;PANCREATITIS;RESPIRATORY FAILURE,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH MVR W/LEFT VENTRICULAR ASSISTED DEVICE BACK-UP/SDA,1
DISSEMINATED INTRAVASCULAR COAGULATION,1
PULSELESS ARREST,1
BACTERMIA,1
MYELITIS,1
CAD FOR CABG,1
3 VESSEL DISEASE;+ETT\CATH,1
METHYLGLOBLUIN,1
INCREASING SOB R/T INTERSTITIAL LUNG DISEASE,1
CIRRHOSIS;ASCITES;R/O CELLULITIS,1
ACUTE RENAL FAILURE-BACTEREMIA,1
LEFT FEMUR FRACTURE;LOW HCT,1
COLO-VAGINAL FISTULA,1
AORTIC STENOSIS;DYSPNEA,1
CORONARY ARTERY DISEASE;HYPERTENSION;DIABETES\CATH,1
HYPERGLYCEMIA;FOOT ULCERS;HYPONATREMIA,1
SUICIDAL IDEATION;FOREIGN BODY INGESTION,1
STATUS POST MOTOR VEHICLE ACCIDENT;MULTIPLE TRAUMA,1
BRONCHIAL LESION,1
"CEREBELLAR LESION, LEFT/SDA",1
RIGHT BRAIN GLIOBLASTOMA MULTIFORME/SDA,1
FRACTURED AICD LEAD\ICD IMPLANT IN O.R. ,1
CONGESTIVE HEART FAILURE;TELEMETRY;CORONARY ARTERY DISEASE;DIABETES MELLITUS,1
VENTRAL SEPTAL DEFECT\MITRAL VALVE REPLACEMENT; VENTRAL SEPTAL DEFECT/SDA,1
"CARDIOMYOPATHY, ATRIAL FIBRILLATION\LEFT AND RIGHT HEART CATHETERIZATION",1
ISCHEMIC LEFT FOOT;METHICILLIN RESISTANT STAPH AUREUS,1
PYELONEPHRITIS & ASPIRATION PNEUMONIA,1
PEANUT ALLERGIC REACTION;AIRWAY OBSTRUCTION,1
GERD; ASPIRATION PNEUMONIA/SDA,1
INFECTED LEFT LEG,1
QUESTION SEPSIS,1
GASTROINTESTINAL BLEED;CHEST PAIN;TELEMETRY,1
RESPIRATORY DISTRESS;PNEUMONIA;CONGESTIVE HEART FAILURE,1
HISTORY SMALL BOWEL OBSTRUCTION/SDA,1
FEVERS;CONFUSION,1
MULTIPLE MYELOMA;HEPATITIS,1
METASTATIC CANCER;HYPOXIA,1
"HYPOTENSION,FEVER,DECUBITUS ULCER",1
ACUTE CHEST CRISIS,1
LETHARGRY,1
INTERMITTENT HEART BLOCK;ACUTE CORONARY SYNDROME,1
CORONARY ARTERY DISEASE;DIABETES MELLITUS;HYPERTENSION,1
ATRIAL FIBRILLATION\CARDIOVERSION;TRANSESOPHAGEAL ECHOCARDIOGRAM,1
ASPIRATION/PNEUMONITIS,1
TAMPONADE\PERICARDIOCENTESIS,1
SEVERE AS\AORTIC VALVE REPLACEMENT/SDA,1
ALTERED MENTAL STATU,1
INTRACRANIAL SWELLING,1
SYNCOPAL EPISODES,1
TRICUSPID REGURGITATION\ TRICUSPID REPAIR OF REPLACEMENT/SDA,1
INTERPARENCHYMAN HEMORRHAGE,1
GAMMA BENZENE HEXACHLORIDE WITHDRAWAL,1
EPIDURAL HEMORRHAGE;SP ASSAULT,1
"TREMOR,ACUTE RENAL FAILURE",1
ANTERIOR FLOOR OF THE MOUTH CANCER/SDA,1
"RECURRENT LEFT CAROTID STENOSIS,PRE HYDRATION",1
ULCERS/CELLULITIS LEFT FOOT,1
PROGRESSIVE HEART FAILURE;ANGINA;MITRAL REGURGITATION\COMPLETE HEART CATH,1
DIABETES MELLITUS;SEPTIC SHOCK,1
FEVER;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,1
MYOCARDIAL INFARCTION; CARDIOGENIC SHOCK\CATH,1
DIABETIC KETOACIDOSIS;URINARY TRACT INFECTION,1
MELANOMA-INTRACRANIAL BLEED,1
FAILURE TO THRIVE;INTUBATED,1
TRANCHEAL MALACIA/SDA,1
LEFT CEREBELLUM MASS/SDA,1
MITRAL VALVE DISORDER\AORTIC AND MITRAL VALVE REPLACEMENT;   THORACOSCOPIC MAZE PROCEDURE;  BRONCHOSCOPY FLEXIBLE DIAGNOSTIC /SDA,1
ETOH WITHDRAWAL;EKG CHANGES,1
RIGHT CHOLESTEROL CYST/SDA,1
CRITICAL AORTIC STENOSIS; PULM EDEMA,1
HEAT FATIGUE,1
"S/P FALL;END STAGE RENAL DISEASE;FRACTURE,LEFT SIDE RIB",1
V  TACH,1
WORSENING ANGINA;CORONARY ARTERY DISEASE\LEFT HEART CATHETERIZATION,1
PSORIATIC ARTHRITIS\ORENCIA INFUSION,1
LIVER FAILURE;S/P TIPS,1
OPEN SKULL FRACTURE-FACIAL SMASH,1
S/P MOTOR VEHICLE ACCIDENT;RIGHT ARM FX,1
BARRETT'S ESOPHAGUS HIGH GRADE DYSPLASIA/SDA,1
NON HODGKINS LYMPHOMA-SHORTNESS OF BREATH,1
GANGRENE/SDA\RIGHT LOWER EXTREMITY ANGIOGRAM;PERCUTANEOUS TRANSLUMINAL ANGIOPLASTY TO VEIN GRAFT,1
PULMONARY EMBOLI\R HEART CATH,1
AORTIC OCCLUSION,1
HEPATIC ENCEPHALOPATHY/ANEMIA,1
"HYPOXIA,TACHYCARDIA",1
FEVER ,1
LT BASALAR BLEED,1
LYMPHOMA;FEBRILE NEUTROPENIA,1
INTRAORAL MASS,1
ETOH WITHDRAWAL;SHOULDER PAIN,1
LOWER GASTRINTESTINAL BLEED,1
TRANSAMINITIS;STATUS POST MOTOR VEHICLE ACCIDENT WITH INJURIES,1
ETOH WITHDRAWAL;UNRESPONSIVE,1
"MR\MITRAL VALVE REPLACEMENT,HEART PORT MINIMALLY INVASIVE ",1
SEPSIS; ACUTE RENAL FAILURE,1
AIRWAY OBSTRUCTION\BRONCHOSCOPY FLEXIBLE AND RIGID ,1
"CHOLANGIOCARCINOMA,DEHYDRATION",1
CHOLANGITISEPSIS,1
"CHF,RENAL INSUFFIENCY",1
STATUS POST MYOCARDIAL INFARCTION;+ ETT,1
PENCARDIAL EFFUSION;HYPOXIA,1
DISSEMINATED ZOSTER,1
STAB TO NECK,1
THROMBIC THROMBOCYTOPENIA EXACERBATION,1
C5/C6 NECK ABSCESS,1
CONGESTIVE HEART FAILURE;CHRONIC RENAL FAILURE;CARDIOMYOPATHY,1
SEVERE ISCHEMIC LEG,1
ABDOMINAL AORTIC ANEURYSMECTOMY,1
CVA; CHF PNEUMONIA,1
CORONARY ARTERY DISEASE\INTRAVASCULAR ULTRASOUND OF LEFT MAIN ARTERY,1
ATRIAL AFRBILLATION\THORACOSCOPIC MAZE PROCEDURE BILATERAL/SDA,1
OCCLUDED RIGHT LEG,1
SHORTNESS OF BREATH;RESPIRATORY ARREST,1
PROCTITIS,1
ICH WITH HERNIATION,1
JUXTA-RENAL ANEURYSM/SDA,1
VOMITING; HYPERGLYCEMIA; HEADACHE,1
DYSPNEA;MAST CELL ACTIVATION,1
RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY;CVA,1
CORONARY ARTERY DISEASE\BYPASS,1
DYSPHAGIA/SDA,1
IPH; SAH,1
MITRAL VALVE STENOSIS\MITRAL VALVE REPLACEMENT WITH CONCMITANT MAZE; ? CORONARY ARTERY BYPASS GRAFT ,1
SYNCOPE;BRADYCARDIA,1
BRIGHT RED BLOOD PER RECTUM;TELEMETRY,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT  MAZE PROCEDURE/SDA,1
HYPERTROPHIC OBSTRUCTIVE CARDIOMYOPATHY\ETHANOL ABLATION,1
CEREBRAL VASCULAR ACCIDENT;RESPIRATORY FAILURE;RAPIDN A-FIB,1
SOB;AORTIC INSUFFICIENCY\AORTIC VALVE REPLACEMENT /SDA,1
BACK INFECTION,1
AORTIC ANEURYSM\RESECTION AAA,1
PULMONARY EMBOLIS;HYPOTENSION,1
CELLULITIS;DEEP VEIN THROMBOSIS,1
BURN;DEHYDRATION;UNRESPONSIVE,1
HYPERTENSIVE URGENCY',1
MI; PNEUMONIA; CHF,1
ASCENDING THORACIC ANEURYSM,1
PULMONARY FIBROSIS PNEUMONIA,1
SUPRAVENTRICULAR TACHYCARDIA\ELECTROPHYSIOLOGY STUDY,1
CORONARY ARTERY DISEASE\AORTIC VALVE REPLACEMENT; ? CABG/SDA,1
UGIB; NEW INFARCT,1
DOE;PLEURAL EFFUSION,1
BACTEREMIA;SEPSIS,1
DECOMPRESSED CIRRHOSIS;HYPONATREMIA,1
S/P APPENDECTOMY,1
CHEST PAIN\ASPIRIN DESENSITIZATION;CATH,1
ABNORMAL PAPS SMEAR,1
NAUSEA-VOMITING-HYPERGLYCEMIA-INCREASED WBC,1
HYPERGLYCEMIA;URTICARIA,1
CORONARY ARTERY DISEASE ;CORONARY ARTERY BYPASS GRAFT,1
AORTIC STENOSIS; SYNCOPE\LEFT HEART CATH,1
ANEMIA;PERICARDIAL EFFUSION,1
CONGESTIVE HEART FAILURE;DIASTOLIC DYSFUNCTION\LEFT HEART CATH,1
INFECTION LEFT AXILLO FEMORAL GRAFT,1
LOWER,1
CHARCOAL ASPIRATION,1
CORONARY ARTERY DISEASE;NON-ST SEGMENT ELEVATION MYOCARDIAL INFARCTION\CATH,1
ATRIAL TACHYCARDIA\LEFT ATRIAL TACHYCARDIA ABLATION **REMOTE WEST**/SDA,1
PULMONARY EMBOLIS-HEMATEMESIS,1
SPINAL MASS/SDA,1
"GI BLEED, ASPERATION, SEPSIS",1
SUB DURAL HEMATOMA,1
FEVER;HYPERTENSION,1
FEVER;TACHYCARDIA;DEHYDRATION,1
FRONTAL TUMOR/SDA,1
"UROSEPSIS, ASPIRATION PNEUMONIA",1
"FEVER,ABDOMINAL PAIN",1
"CHF,CAD,HYPERTENSION",1
SHORTNESS OF BREATH;PLUERAL EFFUSION,1
CORONARY ARTERY DISEASE;HEART FAILURE\CARDIAC CATH,1
GUILLIAN BARRE,1
DECENDING THORACIC ANEURYSM\RESECTION ANEURYSM THORACIC; LEFT THORACOTOMY COMPLETION OF ELEPHANT TRUNK; DECENDING AORTIC ANEURYSM/SDA,1
SYSTOLIC HEART FAILURE;ISCHEMIC CARDIOMYOPATHY\CARDIAC CATHETERIZATION,1
INTESTINAL STRICTURE,1
NON ISCHEMIC CARDIOMYOPATHY; CONGESTIVE HEART FAILURE\RIGHT HEART CATHETERIZATION,1
SEVERE MITRAL REGURGITATION\CARDIAC CATH/SDA,1
RULE OUT MEAINGITIS,1
ALTERED MENTAL STATUS;OVERDOSE,1
FEVER-ALTERED MENTAL STATUS,1
+ MI\CATH,1
LOWER GI  BLEED,1
FATTY DEPOSITS ABDOMEN & HIPS/SDA,1
INFECTIN,1
SDHS,1
LEFT RETROPERITONEAL ABSCESS/SDA,1
CHRONIC PELVIC PAIN/SDA,1
SUBARACHNOID HEMATOMA;SUBDURAL HEMORRHAGE;T12 FX;ABDOMINAL HEMATOMA,1
CHEST PAIN; CORONARY ARTERY DISEASE\CATHETERIZATION,1
LEFT RENAL MASS,1
INTRACTABLE VOMITTING;MENTAL STATUS CHANGES,1
RIGHT SCV CLOT;RIGHT BC VEIN CLOT;TELEMETRY,1
CHEST PAIN; CAD\CATH,1
STERNAL LESION\STERNAL BIOPSY ,1
LUNG CANCER;HYPONATREMIA;SYNCOPE,1
TRAUMA;HYPOXIA,1
RESPIRATORY DISTRESS;TRACH BLOCKAGE,1
NON Q MI;CORONARY ARTERY DISEASE\CATH,1
DIABETIC KETOACIDOSIS;SUBDURAL HEMATOMA,1
TIPS EVALUATION;ANEMIA,1
BILIARY DUCT DILATION,1
PERSISTANT NAUSEA-VOMITING-ETOH WITHDRAWAL,1
S/P MOTOR VEHICLE ACCIDENT-STABBING,1
MYOCARDIAL INFARCTION;GASTROINTESTINAL BLEED,1
"CALCIUM CHANEL BLOCKER,BETA BLOCKER OVERDOSE",1
LEFT ANKLE INTERMEDIATE GRADE SARCOMA/SDA,1
S/P KIDNEY-PANCREAS TX-R/O PNEUMONIA,1
S/P FALL;SKULL FRACTURE;INTRACRANIAL HEMORRHAGE,1
HYPERKALEMIA-PANCREATITIS,1
ADRENAL HEMORRHAGE,1
ABDOMINAL ABSCESS;CHRON'S DISEASE,1
PERICARDIAL EFFUSION;NON SMALL CELL CARCINOMA,1
NON STEN ELECTRICAL MYOCARDIAL INFARCTION\LEFT HEART CATHETERIZATION,1
(+)STRESS TEST;ANGINA,1
"AORTIC STENOSIS\CORONARY ARTERY BYPASS GRAFT WITH AVR, ?BENTAL PROCEDURE /SDA",1
PROGRESSIVE EXERTIONAL DYSPNEA;CORONARY ARTERY DISEASE\CARDIAC CATH/SDA,1
LEUKOCYTOSIS;DEHYDRATION; RECTAL CANCER,1
SEPSIS;CARDIAC ISCHEMIA;CONGESTIVE HEART FAILURE,1
INTRACARDIAC THROMBUS,1
CA OF RIGHT ORAL CAVITY/SDA,1
ABDOMINAL PAIN;ANEMIA,1
CHEST PAIN;DYSPNEA\CARDIAC CATH,1
MR\MITRAL VALVE REPLACEMENT REDO /SDA,1
CRANIOTOMY/SDA,1
CHRONIC OBSTRUCTIVE DISEASE EXACERBATION,1
SPLENIC LACERATIONS,1
TRACHEAL ESOPHAGEAL FISTULA\STENT PLACEMENT ESOPHAGUS,1
ATRIAL SEPTAL DEFECT\REPAIR ATRIAL-SEPTAL DEFECT; LIMITED ACCESS/SDA,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT ? PFO CLOSURE/SDA,1
PERICRDIAL EFFUSION,1
ST ELEVATION;MYOCARDIAL INFARCTION\CARDIAC CATH,1
R SIDED WEAKNESS,1
GASTRIC CANCER;PANCREATITIS,1
MITRAL VALVE REGURITION\MITRAL VALVE REPLACEMENT MINIMALLY INVASIVE APPROACH; HEART PORT/SDA,1
SWALLOWED PLASTIC SPOON,1
"LEFT DISTAL RADIAL FRACTURE, RIGHT TIBIAL PLATEAU FRACTURE",1
CHRONIC RENAL FAILURE/SDA\TRANSPLANT KIDNEY RECIPIENT ,1
ESOPHAGEAL TUMOR;UPPER GI BLEED,1
INTRAPARIETAL HEMORRHAGE,1
ABDOMINAL PAIN;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT;? AVR: REPLACEMENT ACENDING AORTA/SDA,1
PNEUMONIA;SHORTNESS OF BREATH,1
ABDOMINAL PAIN;DIARRHEA,1
ATRIAL FIBRILLATION\THORACOSCOPIC BIVENTRICULAR LEAD PLACEMENT; LV LEAD PLACEMENT /SDA,1
HYPERKALEMIA;HYPERGLYCEMIA,1
CLOTTED FISTULA;S/P EMBOLIZATION,1
MULTIPLE TRAUMAS,1
HYOXIA,1
HYPERBILIRUBIA,1
LEFT SHOULDER AC DISTRUPTION\LEFT SHOULDER AC RECONSTRUCTION AUTOHAMSTRING ? ALLOGRAFT,1
EXTREME PREMATURITY/? SEPSIS,1
DRUG REACTION,1
GALLSTONES/SDA,1
TONGUE CANCER/SDA,1
MENINGITIS; ? TB,1
CHEST PAIN;\CATH,1
EXPANDED HEMATOMA,1
RIGHT FRONTAL TUMOR/SDA,1
S/P PEDESTRAIN STRUCK,1
NEUTROPENIA;THROMBOCYTOPENIA,1
INCREASING ANGINA;CORONARY ARTERY DISEASE\CARDIAC CATH,1
CORONARY ARTERY DISEASE;CHEST PAIN;ABNORMAL STRESS TEST\CARDIAC CATHETERIZATION/LEFT HEART CATHETRIZATION,1
FEVER UNKNOWN ORIGEN,1
MITRAL REGURGITATION;SHORTNESS OF BREATH\CARDIAC CATH,1
MCA,1
ATRIAL FIBRILLATION;BRADYCARDIA;AORTIC STENOSIS,1
ASCITES;HYPONATREMIA,1
RIGHT PLEURAL EFFUSION CIRRHOSIS PHT,1
SEVERE AS\ BENTAL PROCEDURE W/ ? HOMOGRAFT/SDA,1
"BACK PAIN, DELIRIUM",1
HYPONATREMIA;PNA,1
TRIGEMINIAL NEURALGIA/SDA,1
3RD DEGREE HB; S/P MVC,1
S/P MVA; SPINAL CORD INJURY,1
MEDIA STINAL MASS/SDA,1
SHORTNESS OF BREATH;CORONARY ARTERY DISEASE;MYOCARDIAL INFARCTION\CATH,1
EXTRNAL DRAINAGE,1
VARCEAL BLEED,1
02-239,1
SEPATIC ENCEPHALAPATHY,1
SUBDURAL HEMORRHAGE-S/P ASSAULT,1
CARDIOMYOPATHY\COMPLETE HEART CATH,1
HYPERKALEMIA;METASTATIC CANCER,1
ABSCESS OF GALLSTONES/SDA,1
ANTERIOR WALL MYOCARDIAL INFARCTION,1
METASTATIC MELANOMA TO NECK/SDA,1
BILIRUBINEMIA,1
CRUSH INJURY TO ABDOMEN,1
ABDMOMINAL PAIN,1
PES PLANOVALGULS DEFORMITY/SDA,1
CAD'\CORONARY ARTERY BYPASS GRAFT/SDA,1
MENGIOMA OF BRAIN/SDA,1
BRADE CARDIAC ARREST,1
RIGHT RENAL CA/SDA,1
ANTERIOR WEDGE COMPRESSION FRACTURE C7/SDA,1
"ABD PAIN,NAUSEA,VOMITING,DIARRHEA,MENTAL STATUS CHANGES,R/O MI",1
CORONARY ARTERY DISEASE\LEFT ANTERIOR DESCENDING ARTERY ANGIOPLASTY,1
ICD SITE INFECTION,1
CSPINE INJURY,1
OPOID WITHDRAWAL,1
PNEUMONIA;INFLUENZA,1
AORTIC STENOSIS\ MINAMALLY INVASIVE AVR/SDA,1
CHOLANGITIS;CHOLECYSTITIS,1
FEVER;THROMBOCYTOPENIA;QUESTION OF TTP,1
PNEUMONIA-GAIT,1
STROKE WITH HEAD BLEED,1
VT ABLATION,1
CORONARY ARTERY DISEASE;ANGINA\LEFT HEART CATH,1
N/V/D ; PNEUMONIA,1
FEVER;VOMITING,1
INTRACRANIAL HEMORRHAGE;SKULL FRACTURE,1
CENTERAL AIRWAY OBSTRUCTION,1
PNEUMONIA VERSUS PULMONARY EMBOLUS,1
DISC PROTUSION L5-S1,1
MEDIASTINAL LYMPHADENOPATHY,1
"ASTHMA,COPD",1
"MVC,PNEUMOTHORAX,RT WRIST FRACTURE",1
HYPOTENSION; AMS,1
SUBDURAL VS. SUBARACHNOID HEMATOMA,1
SUBARACHNOID HEMORRHAGE;CEBREBRAL CONTUSION;S/P FALL,1
RENAL FAILURE;LUNG CA,1
ST CHANGES,1
CA RIGHT SKULL BASE;OSTEOMYELITIS RIGHT MANDIBLE,1
SWOLLEN KNEE;TELEMETRY,1
NON VIABLE LEG,1
URINARY TRACT INFECTION;PYELONEPHRITIS;ACUTE RENAL FAILURE;RIGHT HIP PAIN,1
MYOCARDIAL INFARCTION/FAILURE TO THRIVE,1
HYPOTENSION.GLOGGED DIALYSIS,1
BILATERAL LOWER EXTREMITY EDEMA,1
KIDNEY STONES/SDA,1
RESPIRATORY DISTRESS AND FEVER,1
CHEST PAIN;ABNORMAL STRESS TEST\CARDIAC CATHETERIZATION ,1
KYPHOSIS,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH AVR; ? ASCENDING AORTA REPLACEMENT; ? BENTAL PROCEDURE /SDA,1
CIRRHOSIS;LOWER EXTREMITY DYSPNEA;EDEMA,1
INGUINAL HERNIA,1
HEART FAILURE/A-FIB,1
SEVERE CARDIOMYOPATHY;MITRAL VALVE DISEASE,1
ISCHEMIC LT ARM,1
ANEURYSYM/SDA,1
INSTEMI\CARDIAC CATH,1
GUN SHOT,1
CHYLOUS ASCITES; PANCYTOPENIA,1
TRACHEOBRONCHIALMALACEA/SDA,1
CHEST PAIN-R/O MI,1
?PORTAL VEIN THROMBOSIS,1
THORACIC AORTIC ANEURYSM\ RE-DO STERNOTOMY; ?? STENT/SDA,1
ATRIAL FIBRILLATION\AFIB ABLATION,1
AORTIC INSUFFICIENCY;STATUS POST ENDOCARDITIS\CATH,1
ELEVATED GLUCOSE;TELEMETRY,1
S/P STRUCK BY CAR,1
AORTIC VALVE INSUFFICIENCY\AORTIC VALVE REPLACEMENT ? MVR ? TRICUSPIC VALVE REPLACEMENT /SDA,1
CHEMO  DESENTITIZATION,1
BASAL GANGLIN BLEED,1
MEDIASTINAL MASS;RESPIRATORY ARREST,1
INTRACRANIAL HEMORRHAGE WITH SHIFT,1
RIGHT VENTRICULAR ANEURYSM\RESECTION RIGHT VENTRICULAR ANEURYSM /SDA,1
STATUS POST C SECTION;ACUTE RENAL FAILURE;HYPOTENSION;ACUTE PANCREATITIS,1
FRONTAL MENIGIOMA/SDA,1
BILIARY COLIC/SDA,1
UNCONTROLLED DIABETES/PANCREAS TRANSPLANT,1
"RENAL FAILURE,FOR KIDNEY TX",1
DIURETIC RESISTANCE ASCITIS,1
VR\ MVR REDO,1
GI BLEED;LIVER FAILURE,1
ACENDING AORTA\  ROUTE REPLACEMENT VS DAVID PROCEDURE/SDA,1
"AORTIC STENOSIS;CORONARY ARTERY DISEASE\AORTIC VALVE REPLACEMENT, ? CORONARY ARTERY BYPASS GRAFT  /SDA",1
CORONARY ARTERY DISEASE;MULTIPLE SYSTEM FAILURE\ANGIOPLASTY,1
AAA\AORTIC VALVE REPLACEMENT;ASCENDING AORTIC  REPLACEMENT;AORTIC ARCH REPLACEMENT;DHCA/SDA,1
END STAGE LIVER DISEASE;END STAGE KIDNEY DISEASE,1
AORTIC STENOSIS CHRONIC OBSTRUCTIVE PULMONARY DISEASE,1
B-BLOCKER;BENZO OD,1
SDH WITH SHIFT,1
RENAL FAILURE-CONFUSION,1
PACEMAKER LEAD MALFUNCTION\PACEMAKER LEAD REVISION,1
SEPSIS;MITRAL VALVE INFECTION,1
LEFT HIP OSTEOARTHRISTIS/SDA,1
LUNG CANCER WITH CENTRAL AIRWAY OBSTRUCTION,1
THYROID MASS IMPINGING AIRWAY,1
LUNG  CANCER-RESPIRATORY FAILURE,1
UNSTABLE ANGINA\LEFT HEART CATHERIZATION,1
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT; MINMALLY INVASIVE HEART PORT/SDA,1
S/P SKIING ACCIDENT,1
PNEUMONIA;RULE OUT MYOCARDIAL INFARCTION,1
STAB WOUND TO HAND,1
ISCHEMIC REST PAIN/ULCER BILATERAL,1
RULE-OUT MYOCARDIAL INFRACTION;TELEMETRY,1
? SUBDURAL HEMATOMA-SPINE FRACTURE,1
PNEUMONIA-S/P KIDNEY TRANSPLANT,1
ILIAC STENTING,1
FOUNIER GANFRENE,1
ABDOMINAL PAIN;STENT PLACEMENT,1
LEFT BUNDLE BRANCH BLOCK/BRADYCARDIA,1
"ALTERED MENTAL STATUS,SPINAL DETRUSOR HYPERREFLEXIA",1
RIGHT LOWER QUADRANT PAIN/SDA,1
PNEUMOTHORAX;ACETABULAR FRACTURE,1
BASILLAR OCCLUSION,1
POLY OVERDOSE,1
AORTIC STENOSIS-CONGESTIVE HEART FAILURE,1
"CHF,COPD,HYPERTENSION",1
MEDIASTINAL LYMPHADENOPATHY; HYPOXIA,1
SEIZURE;HEPATIC ENCEPHALOPATHY,1
ACUTE LEFT CEREBRAL VASSCULAR ACCIDENT ISCHEMIC STROKE,1
CELLULITIS RIGHT LEG,1
MR\MITRAL VALVE REPLACEMENT; REDO WITH MAZE PROCEDURE/SDA,1
S/P AIRPLANE CRASH,1
ABSCESS;NECROIZING FASCIITIS,1
RESPIRATORY INSUFFICIENCY; COPD,1
HEART FAILURE;KIDNEY RENAL FAILURE,1
T CELL LYMPHOMA,1
CAROTIS ARTERY STENOSIS\CAROTIS ANGIOGRAM,1
CORONARY ARTERY DISEASE; ANGINA\LEFT HEART CATHETERIZATION,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH MAZE; LEFT ATRIAL APPENDAGE LIGATION /SDA,1
? ISCHEMIC COLITIS,1
INFECTED LEFT THIGH,1
LEFT HIP FRACTURE/SDA,1
INTRACRANIAL FLUID,1
DECUBITIS ULCER,1
RENAL FAILURE/ KIDNEY TRANSPLANT,1
HYPOTENSION-MENTAL STATUS CHANGE,1
DIARRHEA-HYPOTENSION,1
CELLULITIS;L FOOT ULCER,1
"MALIGNANT RETROPERITONEAL TUMOR, RIGHT RENAL MASS VASCULAR TUMOR/SDA",1
S/P PULSELESS ARREST,1
ALTERED MENTAL STATUS;HYPOTENSIVE,1
ACUTE MONOCYTIC LEUKEMIA\BONE MARROW TRANSPLANT,1
S/P ESPIRATORY ARREST,1
CHEST PAIN;EKG CHANGES\CATH,1
S/P CARDIAC ARREST;CHRONIC OBST PULM DISEASE,1
LIVING RELATED LIVER DONOR/SDA,1
CORNARY ARTERY DISEASE\ENDOSCOPIC CORNARY ARTERY BYPASS OFF PUMP LEFT CHEST/SDA,1
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFTWITH AVR ,1
UTI/PYELONESPHRITIS,1
CORONARY ARTERY DISEASE;CONGESTIVE HEART FAILURE;CHEST PAIN\CARDIAC CATH,1
"NON-UNION, LEFT FEMUR FRACTURE\REPAIR NON-UNION LEFT HIP  **C-ARM**",1
UNRESPOSIVE - (FOUND DOWN),1
CHRONIC CHOLECYSTITIS/SDA,1
ACUTE CORONARY STENT THROMBOSIS,1
ACUTE RENAL FAILURE;(AML) ACUTE MYELOGENOUS LEUKEMIA,1
GANGRENE LEFT TOES,1
PAROXYSMAL ATRIAL FIBRILLATION\PULMONARY VEIN ISOLATION **REMOTE WEST** /SDA,1
"NAUSEA,VOMITING,DIARRHEA",1
BENZO OD,1
LT SIDED STROKE,1
RIGHT LUNG CANCER;WEAKNESS,1
SEPSIS;UNRESPONSIVE;CHRONIC LYMPHOCYTIC LEUKEMIA,1
NON ST ELEVATION MYOCARDIAL INFARCTION;CONGESTIVE HEART FAILURE\INTRA AORTIC BALLON PUMP,1
USA/SDA,1
MYOCARDIAL INFARCTION; CONGESTIVE HEART FAILURE\BIVENTRICULAR PACEMAKER,1
NEW DILATED CARDIOMYOPATHY\RIGHT AND LEFT HEART CATHETERIZATION,1
PERIPHERAL VASCULAR DISEASE\BILATERAL LOWER EXTREMITY ANGIOGRAM,1
HYPOXIA; DYSPNEA,1
POST MENOPAUSAL BLEEDING,1
"HYPOGLYCEMIA,GI BLEED",1
COLOSTOMY PROLAPSE; RECTAL STRICTURE/SDA,1
T8 LESION/SDA,1
MS FLARE,1
SPINAL INFECTION,1
DECOMPENSATED HEART FAILURE,1
NON-HEALING ULCER,1
HEAD TRAUMA;SCALP LACERATION,1
CHRONIC BACK PAIN,1
"WEAKNESS,FAILURE TO THRIVE",1
NEW BRAIN MASS AND LUNG LESION,1
FEVER-EKG CHANGES,1
SIEZURE,1
CHOLANGITIS;STATUS POST LIVER TRANSPLANT,1
MUCOCELE/SDA,1
ACUTE SHORTNESS OF BREATH;CONGESTIVE HEART FAILURE,1
"HYPERNATREMIA, UROSEPSIS",1
ST-SEGMENT ELEVATION MYOCARDIAL INFARCTION\LEFT HEART CATH,1
RECTAL BLEEDING;COAGULOPATHY,1
CORONARY ARTERY DISEASE;+STRESS TEST\LEFT HEART CATH,1
CONGESTIVE HEART FAILURE; NSTEMI,1
OCCLUDED RIGHT CORONARY ARTERY LESION\RIGHT CORONARY ARTERY INTERVENTION,1
ATRIAL FLUTTER;TELEMTRY,1
ABDOMINAL PAIN;ACUTE DIVERTICULITIS,1
CHRON'S DISEASE/SDA,1
LEG GANGRENE;HYPOTENSION;CHF;CARDIOMYOPATHY,1
MITRAL STENOSIS\MVR; ? CORONARY ARTERY BYPASS GRAFT ,1
CORNARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH MITRAL VALVE REPAIR VS REPLACEMENT/SDA,1
PANCREATIC MASS;CHOLECYSTITIS,1
