diagnosis,category
"LIVER BLEED & HEMATOMA, HEMOPERITON",hepatobiliary
ACUTE RENAL FAILURE;CHEST PAIN;TELEMETRY,renal
DRAIN LEAKAGE,postoperative_surgical
MITRAL VALVE INSUFFICIENCY\MITRAL VALVE REPLACEMENT,cardiovascular
ULCER LEFT FOOT/SDA,infectious
OROPHARYNGEAL MASS,oncology
DIABETIC KEDOACIDOSIS,endocrine_metabolic
RAPID AFIB-URINARY TRACT INFECTION,cardiovascular
TRIGEMINAL NEURALGA,neurological
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; WITH AVR;MITRAL VALVE REPLACEMENT/SDA,cardiovascular
RHABDO;RENAL FAILURE,renal
WORSENING DYSPNEA ON EXERTION;AORTIC STENOSIS\RIGHT AND LEFT HEART CATHETERIZATION,cardiovascular
CELLULIIS,infectious
"HEMATURIA,HYPOTENSION",genitourinary
FEVER; R/O MENINGITIS,infectious
INFERIOR LATERAL MI\CATH,cardiovascular
PNEUMONIA;MI,respiratory
ACUTE CORONARY SYNDROME;TELEMTRY,cardiovascular
VERTIGO,neurological
AORTIC STENOSIS\AVR;? CORONARY ARTERY BYPASS GRAFT  /SDA,cardiovascular
"N/V, HYPERGLYCEMIA,NEW ONSET A-FIB",endocrine_metabolic
CONGESTIVE HEART FAILURE;END-STAGE RENAL DISEASE;ALTERED MENTAL STATUS;TELEMETRY,cardiovascular
SHORT GUT SYNDROME\ TUNNELLED CATHETER,gastrointestinal
LT FEMORAL SHAFT FRACTURE,trauma_injury
RIGHT ICA STENOSIS,neurological
CARCINOMA COLON/SDA,oncology
UGIB;HEMATEMESIS,gastrointestinal
CARDIOMYOPATHY\IMPLANTABLE CARDIOVERTER DEFIBRILLATOR IMPLANT,cardiovascular
BETA BLOCKER OD,toxicology_poisoning
COGIATED DELIRUM,psychiatric
"RAPID A-FIB,SDH, PELVIC FRACTURE",trauma_injury
"NAUSA,VOMITING",symptoms_unspecified
"FALLS,BACK PAIN WEAKNESS",musculoskeletal
HEART FAILURE;ABDOMINAL PAIN,cardiovascular
MITRAL STENOSIS\AORTIC AND MITRAL VALVE REPLACEMENT /SDA,cardiovascular
INFECTED AXILLO FEMORAL GRAFT/SDA,infectious
"POLY SUBSTANCE ABUSE,DT",psychiatric
THALMUS BLEED,neurological
COPD FLARE-RESPIRATORY DISTRESS,respiratory
"MOTORCYCLE ACCIDENT ,MBC",trauma_injury
LOWER INTESTINAL BLEED,gastrointestinal
QUESTION OF OSTEOMYLITIS,musculoskeletal
S/P APPENDECTOMY;NAUSEA;VOMTING,postoperative_surgical
URINARY TRACT INFECTION;ANTI COAGULATION,genitourinary
WOUND DEHISCENCE INFECTION,postoperative_surgical
"HEPATITIS B, HEPITOMA/SDA",hepatobiliary
HYPERGLYCEMIA;HYPOTENSION;ACIDOSIS;,endocrine_metabolic
DYSPNEA;MAST CELL DEGRANULATION,respiratory
POSSIBLE OVARIAN CA/SDA,oncology
MITRAL REGURGITATION\BENTALL PROCEDURE; ? CORONARY ARTERY BYPASS GRAFT/SDA,cardiovascular
GTUBE EVALUATION,gastrointestinal
NEWLY DIAGNOSED BRAIN MASS;LACKS CAPACITY,neurological
SPLENIC LAC;FALL;WRIST FRACTURE,trauma_injury
PERICARDIAL DRAIN,cardiovascular
PULMONARY HYPERTENSION\CENTRAL LINE PLACEMENT/REMODULIN INFUSION,cardiovascular
CONGESTIVE HEART FAILURE-SUBDURAL HEMATOMA,cardiovascular
AORTIC STENOSIS\AORTIC VALVE REPLACEMENT  ? MAZE ? RESECTION OF LEFT ARTERAL APPENDAGE ? MITRAL VALVE REPLACEMENT,cardiovascular
"OSTEOARTHRITIS, BILATERAL KNEES/SDA",musculoskeletal
CRONIC MYELOGENOUS LEUKEMIA\FEVER,hematologic
HYPERGLYCEMIA;SEIZURE,endocrine_metabolic
SEVERE AORTIC STENOSIS;CONGESTIVE HEART FAILURE\CARDIAC CATH WITH AORTIC VALVULOPLASTY,cardiovascular
URINARY TRACT INFECTION-COLITIS,genitourinary
CHOLANGIO CA/SDA,oncology
CORONARY ARTERY DISEASE;MITRAL REGURGITATION\PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOGRAM\STENT PLACEMENT,cardiovascular
VISUAL CHANGES,neurological
LEFT LEG CELLULIIS;SEPSIS,infectious
MYOCARDIAL INFARCTION;S/P CARDIAC ARREST\CATH,cardiovascular
DISC DEGENERATION LUMBAR SPINE/SDA,musculoskeletal
HIP FRACTURE;RENAL INSUFFIENCY,renal
LEFT THALAMIC BLEED,neurological
ACUTE CHOLEYCISTITIS,gastrointestinal
RIGHT HEMORRHAGIC CVA,neurological
ACUTE MENTAL STATUS CHANGES/RESPIRATORY DISTRESS,respiratory
FEVER;ACUTE LYMPHATIC LEUKEMIA,hematologic
SEPSIS.,infectious
THROMBOYTIC THROMBOCYTOPENIC PURPURA,hematologic
PULMONARY VEIN INJURY\THORACOSCOPIC MAZE PROCEDURE LEFT;MINI MAZE;BILATERAL MINI THORACOTOMY;PULMONARY VEIN ISOLATION;RESECTION OF LEFT ATRIAL APPENDAGE/SDA,cardiovascular
CHRONIC RESPIRATORY FAILURE;AIRWAY OBSTRUCTION,respiratory
CONGESTIVE HEART FAILURE;CHRONIC OBSTRUCTIVE PULMONARY DISEASE\CATH,cardiovascular
MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT REDO AND VRA THORACOTOMY,cardiovascular
HEPATOCELLULAR CA,oncology
RACH DISLODGED,postoperative_surgical
CEREBROVASCULAR ANOMALY/SDA,neurological
VTACH\CATHERIZATION,cardiovascular
MULTIPLE TRAUMA;TELEMETRY,trauma_injury
PLEURAL EFFUSION;QUESTION OF EMPYEMA,respiratory
V-F ARREST,cardiovascular
LEFT LOWER EXTREMITY PVD\LEFT LOWER EXTREMITY ANGIOGRAM PROCEDURE  **REMOTE WEST**,cardiovascular
PNEUMONIA;ANEMIA,infectious
SUSPECTED OSTEOMYELITIS,infectious
PERSISTANT NAUSEA AND VOMITING,gastrointestinal
MULTI VESSEL CORONARY ARTERY DISEASE;CHEST PAIN\CATH,cardiovascular
URINARY TRACT INFECTION;CELLULITIS;HYPERGLYCEMIA,genitourinary
HYPERNATREMIA;UROSEPSIS,infectious
DYSPNEA;HEMOPTYSIS;HIV,respiratory
NAUSEA VOMITING WEAKNESS,symptoms_unspecified
R/O PERICARDITIS;UROSEPSIS,infectious
ACUTE PANCREATITIS;R/O HEPATITIS\ERCP,gastrointestinal
SEVERE AORTIC STENOSIS;? ISCHEMIA\CATH,cardiovascular
HYPERBILIRUBINEMA,hepatobiliary
LEFT OCCIPITAL STROKE,neurological
CORNARY ARTERY DISEASE\ENDOSCOPIC CORONARY BYPASS/SDA,cardiovascular
HYPOTENSION;INSULIN DEPENDENT DIABETES MELLITUS;ESRD,renal
RIB FRACTURE;PULMONARY CONTUSION,trauma_injury
CONGESTIVE HEART FAILURE; SUDDEN CARDIAC DEATH RISK; CAD\ICD IMPLANTATION +/- BIVENTRICULAR,cardiovascular
STATUS POST MOTOR VEHICLE ACCIDENT WITH INJURIES;MULTI TRAUM,trauma_injury
CARDIAC CATH S/P CARDIAC ARREST,cardiovascular
CONGESTIVE HEART FAILURE;HIP FAILURE,cardiovascular
MITRAL REGURGITATION\MITRAL VALVE REPLACEMENT REDO /SDA,cardiovascular
MYELODYSPLASTIC SYNDROME\CHEMOTHERAPY,hematologic
RP HEMATOMA,trauma_injury
PNEUMONIA;PULMONARY EMBOLIS,respiratory
ANEMIA/ GASTROINTESTINAL BLEED,gastrointestinal
CORONARY ARTERY DISEASE;CHEST PAIN;TELEMETRY,cardiovascular
HYPER BILIRUBINEMIA,hepatobiliary
ELECTROLYTE ABNORMALITIES,endocrine_metabolic
MYOCARDIAL INFARCTION;PNEUMONIA,cardiovascular
HYPOTENSION;FEMUR FX,trauma_injury
BACTEREMIA; ? ENDOCARDITIS,infectious
CORONARY ARTERY DISEASE;MR\CORONARY ARTERY BYPASS GRAFT WITH MVR  TVR/SDA,cardiovascular
MITRAL REGURGITATION\RIGHT AND LEFT HEART CATHETERIZATION,cardiovascular
PERICARDIAL EFFUSION\BALLOOM PERICARDIOTOMY,cardiovascular
RIGHT ACETABULAR FRACTURE,trauma_injury
AFIB\CAD,cardiovascular
PANCREATITIS;PSEUDOCYST,gastrointestinal
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; ? OFF PUMP/SDA,cardiovascular
SUBDURAL HEMORRHAGE;IPH,neurological
FEVER;ABSCESS,infectious
"CONGESTIVE HEART FAILURE;TELEMETRY\THORASCOPIC VS LEFT THORACOTOMY, LEFT  VENTRICULAR EPICARDIAL LEAD PLACEMENT, AUTOMATIC INTERNAL CARDIAC DEFIBRILLATOR/PERMANENT PACEMEKER GENERATOR CHANGE",cardiovascular
R/O VERTEBRAL ARTERY DISSECTION,neurological
HYPOTENSION;NEW CARDIOMYOPATHY;RESPIRATORY DISTRESS,cardiovascular
ESOPHAGEAL CANCER;AIRWAY OBSTRUCTION,oncology
NUERO SARCOIDOSIS,neurological
CIRRHOSIS-VARICEAL BLEED\TIPS,hepatobiliary
C-SPINE INJURY;S/P FALL,trauma_injury
LEFT FRONTAL LESION/SDA,neurological
ACUTE PANCREATITIS;GI BLEED,gastrointestinal
"DKA,  DEHYDRATION",endocrine_metabolic
"BLEEDING,INTERNAL",symptoms_unspecified
ACUTE MYELOGENOUS LEUKEMIA;PAIN,hematologic
AIRWAY OBSTRUCTION\ BRONCHOSCOPY W/ STENT/SDA,respiratory
S/P STRANGULATION,trauma_injury
HYPONATREMIA;RULE-OUT MYOCARDIAL INFARCTION;TELEMETRY,cardiovascular
TRAUMA;LEFT SUBDURAL HEMATOMA,trauma_injury
ALTERED MENTAL STATUS-HYPOTENSION,symptoms_unspecified
S/P LIVER TRANSPLANT;R/O CMV,infectious
PNEUMONIA;UROSEPSIS,infectious
MITRAL REGURGITATION\MVR; ? CORONARY ARTERY BYPASS GRAFT /SDA,cardiovascular
"PNA,UTI",infectious
TORSADES,cardiovascular
GALLSTONE PANCREATITIS;CHOLECYSTITIS,gastrointestinal
ASTHMA-CHRONIC OBSTRUCTIVE PULMONARY DISEASE EXACERBATION,respiratory
NON STEMI MI,cardiovascular
PORTAL VEIN THROMBOSIS/S/P LIVER TX,hematologic
S/P SVT;RULE-OUT MYOCARDIAL INFARCTION,cardiovascular
? CORD COMPRESSION,neurological
COMPLETE HEART BLOCK\PACEMAKER IMPLANT,cardiovascular
MOTOR VEHICLE ACCIDENT;PELVIC FRACTURE;RIB FRACTURE,trauma_injury
SOB;CHEST PAIN,symptoms_unspecified
CHOLECYSTITIS;CHOLELITHIASIS,gastrointestinal
DYSARATHRIA,neurological
"ARF, HEPATITIS",renal
ATERIAL EMBOLIZATION,cardiovascular
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; ? OFF PUMP CORONARY ARTERY BYPASS GRAFT/SDA,cardiovascular
MENTAL STATUS CHANGES;PERFORATED VISCUS,gastrointestinal
"DIABETIC KETOACIDOSIS,RENAL FAILURE",endocrine_metabolic
RIGHT HEEL OSTEOMYELITIS;CORONARY ARTERY DISEASE,infectious
SHORTNESS OF BREATH;PNEUMONIA,infectious
ETOH-PANCREATITIS,gastrointestinal
HIP FRACTURE;PNEUMONIA,trauma_injury
LITHIUM/TCA OD,toxicology_poisoning
PNEUMONIA-ABDOMINAL PAIN,infectious
HYPOTENSION; HYPOXIA,symptoms_unspecified
ROP;SEIZURES,neurological
NECROTIZING PNEUMONIA;SEPSIS,infectious
CHANGE IN MENTAL STATUS;TELEMETRY,symptoms_unspecified
CHF\CORONARY ARTERY BYPASS GRAFT /SDA,cardiovascular
BOERHAAVE SYNDROME,gastrointestinal
DIABETIC KETOACIDOSIS-CONGESTIVE HEART FAILURE,endocrine_metabolic
TRAUMA;MULTUPLE FRACTURES,trauma_injury
ATRIAL SEPTAL DEFECT\MINIMALLY INVASIVE ATRIAL SEPTUM DEFECT CLOSURE,cardiovascular
PANCREATITIS;ATRIAL FIBRILLATION;TELEMETRY,gastrointestinal
MRV\MITRAL VALVE REPLACEMENT/SDA,cardiovascular
EXPLORATORY LAPAROTOMY FOR SMALL BOWEL OBSTRUCTION,postoperative_surgical
V-FIB ARREST/ S/P CATH,cardiovascular
ASSUALT,trauma_injury
ACOUSTIC NEUROMA LEFT EAR/SDA,neurological
CORONARY ARTERY DISEASE;TIA;CAROTID STENOSIS\CATH/STENT PLACEMENT,cardiovascular
"SUBARACHNOID HEMORRHAGE,ANEURYSM",neurological
NEW ONSET CGEST PAIN\CATH,cardiovascular
FATIGUE;MALAISE;POSTIVE TROPONIN,cardiovascular
ALTERED MENTAL STATUS\INTUBATED,symptoms_unspecified
LEFT SIDED HEMATOMA;STATUS POST MOTOR VEHICLE ACCIDENT WITH INJURIES,trauma_injury
STATUS POST MOTOR VEHICLE ACCIDENT WITH INJURIES;TRAUMA;HEAD LACERATION,trauma_injury
"CERVICAL FRACTURE, TRAUMATIC ARREST",trauma_injury
PARATHYROID CANCER,oncology
SEIZURE-TRAUMA-C-SPINEFRACTURE,neurological
MENTAL STATUS CHANGES;R/O SEPSIS,infectious
DIAPHRAMATIC PARALYSIS/SDA,respiratory
ALCOHOL WITHDRAWAL;CHEST PAIN;TELEMETRY,psychiatric
"SOB, WEAKNESS, N/V & RENAL FAILURE",renal
CAROTID STENOSIS'/SDA,cardiovascular
MANDIBLE ABSCESS,infectious
NEW ONSET AFIB;SOB,cardiovascular
"CAROTID STENOSIS, RIGHT",cardiovascular
"HYPERTENSION, ACUTE RENAL FAILURE",renal
PDA/PREMATURITY,pregnancy_obstetric
PNEUMONIA;CHRONIC OBST PULM DISEASE;HYPERTENSION,respiratory
"CAROTID,STENOSIS\CAROTID ANGIOGRAM",cardiovascular
S/P BLEED;DECREASED BP,postoperative_surgical
MYOCARDIAL INFARCTION/CARDIAC CATH,cardiovascular
FEVER;ACUTE RESPIRATORY FAILURE,respiratory
RIGHT FRONTAL MENINGIOMA;SEIZURE,neurological
"S/P GASTRIC BYPASS,CHEST PAIN",postoperative_surgical
LEFT NON-UNION FEMUR FRACTURE/SDA,musculoskeletal
"PANCREATITIS, BLEED",gastrointestinal
HYPOVENTILATION,respiratory
ABDOMINAL PAIN;S/P ERCP,postoperative_surgical
SHORTNESS OF BREATH;INCREASED CREATININE,renal
HYPOGLYCEMIA;URINARY TRACT INFECTION,endocrine_metabolic
INTRA ABDOMINAL BLEEDING-AAA,cardiovascular
CHOLANGIOCARCINOMA\ PTC/SDA,oncology
ACUTE GASTROENTERISTIS,infectious
SUBARACHNOID HEMORRHAGE;BASILAR TIP ANEURYSM,neurological
AIRWAY COMPRESSION;LUNG CANCER,oncology
LARGE GASTOINTESTINAL BLEED,gastrointestinal
THORACIC MENINGIOMA/SDA,neurological
HEADACHE;R/O TB,infectious
COMPLICATION OF DEVICE/SDA,postoperative_surgical
S/P FALL;ABDOMINAL PAIN,trauma_injury
MALIGNANT EFFUSION;TELEMETRY,oncology
"DEHYDRATION,SEPSIS",infectious
RIGHT URETERAL CA/SDA,oncology
AORTIC THROMBOSIS,cardiovascular
PNEUMONIA-ASTHMA,respiratory
S/P MVC;SYNCOPE,trauma_injury
R/O OBSTRUCTION-ABDOMINAL PAIN,gastrointestinal
INTRAPARENCHMAL,neurological
HYPERKALEMIA;TELEMETRU,renal
SEVERE MR\MITRAL VALVE REPLACEMENT;TRICUSPID VALVE REPLACEMENT; MAZE,cardiovascular
LATE EFFECT RADIATION; CERVICAL SPONDYLOSIS/SDA,musculoskeletal
RIGHT PARIETAL BLEED,neurological
PRE OP LIVER TX,hepatobiliary
ETOH IMTOXICATION,toxicology_poisoning
TACHYCARDIA-INR 22,cardiovascular
"TRICUSPID REGURGITATION\TRICUSPID VALVE REPLACEMENT, LEFT VALVE LEAD PLACEMENT/SDA",cardiovascular
QUESTION OF STROKE,neurological
HX OF POLYPS\COLONOSCOPY,gastrointestinal
AVGS INFECTION,infectious
CIRRHOSIS OF LIVER,hepatobiliary
VENOUS SINUS THROMBOSIS,neurological
INGESTION OVERDOSE,toxicology_poisoning
UTI;VOMITING,genitourinary
AORTIC STENOSIS\AORTIC VALVE; ? ASCENDING AORTA REPLACEMENT,cardiovascular
SEPSIS;DISSEMINATED INTRAVASCULAR CLOTTING,infectious
VERTEBRAL ARTERY OCCLUSION,neurological
"DEHYDRATION,DIARRHEA",gastrointestinal
LUNG LESION,respiratory
ACUTE MYOCARDIAL INFARCTION\LEFT HEART CATHETERIZATION,cardiovascular
SEPSIS-INTRACRANIAL HEMORRHAGE,neurological
HYPERGLYCEMIA;HYPERNATREMIA,endocrine_metabolic
V-TACH\EP STUDY,cardiovascular
CORONARY ARTERY DISEASE\CAROTID ANGIOGRAPHY,cardiovascular
BILATERAL KNEE OSTEOARTHRITIS/SDA,musculoskeletal
MULTIPLE DRUG OVERDOSE,toxicology_poisoning
FOURNIER GANGRENE,infectious
PRENEPHRIC HEMATOMA,renal
ABDOMINAL WOUND EXPLORATION,postoperative_surgical
STENT,cardiovascular
HEAD BLEED;S/P FALL;TELEMETRY,trauma_injury
ACUTE MYOCARDIAL INFARCTION;CARDIOGENIC SHOCK,cardiovascular
RIGHT TEMPORAL/SDA,neurological
POST ARREST ? SEPSIS,infectious
HYPERNATREMIA;TELEMETRY,endocrine_metabolic
RUPTURED ABDOMINAL AORTIC ANEURYSM,cardiovascular
INFECTED LEFT FOOT;CELLULITIS,infectious
CHANGE IN MENTAL STATUS;RHABDOMYOLYSIS,neurological
INTRAPARENCHYAL HEMORRHAGE,neurological
HEADACHE;TELEMETRY,neurological
AORTIC STENOSIS;CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; WITH AVR/SDA,cardiovascular
SICK SINUS SYNDROME\PACEMAKER IMPLANT,cardiovascular
CRF,renal
MR\ MITRAL VALVE REPLACEMENT REDO; ? MAZE/SDA,cardiovascular
CHEST PAIN;ELEVATED TROPONIN\CARDIAC CATH,cardiovascular
INTRAABDOMINAL SEPSIS,infectious
CAROTID ANGIOGRAM\CAROTID ANGIOGRAM,cardiovascular
PTC FOR CHOLESTASIS,hepatobiliary
"FEVER, A-FIB",infectious
R/O SMV THROMBOSIS,gastrointestinal
UNRESPONSIVE/RESPIRATORY DISTRESS,respiratory
OVARIAN CANCER;ABDOMINAL PAIN,oncology
POSSIBLE CEREBROVASCULAR ACCIDENT,neurological
AORTIC STENOSIS\AORTIC AND MITRAL VALVE REPLACEMENT  CORONARY ARTERY BYPASS GRAFT /SDA,cardiovascular
CORONARY ARTERY DISEASE;MR\CORONARY ARTERY BYPASS GRAFT;MITRAL VALVE REPLACEMENT/SDA,cardiovascular
ACUTE HEPATITIS,hepatobiliary
BLEEDING LIVER METASTATIC,oncology
FEVER;BACK PAIN;NAUSEA,symptoms_unspecified
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; RESECTION AORTIC ASCENDING ANEURYSM/SDA,cardiovascular
RIGHT TUMOR FRONTAL/SDA,oncology
"LEFT LUNG NODULE, MEDIASTINALADENOPATHY/SDA",oncology
"MITRAL VALVE DISORDER, CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH MVR",cardiovascular
L2 BURST FRACTURE; LUMBAR STENOSIS/SDA,trauma_injury
GASTROINTESTINAL BLEED-MYOCARDIAL INFARCTION,cardiovascular
BASAL GANGLIA BLEED,neurological
PVD\AAA RUNOFFS,cardiovascular
"ACUTE RENAL FAILURE,UROSEPSIS,HYPOTENSION,HYPOXIA",renal
RIB FRACTURES/VOMITING/,trauma_injury
"SEPSIS, PE, RENAL FAILURE",infectious
CORNARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH AVR /SDA,cardiovascular
PFO\PATENT FORAMEN OVALE CLOSURE,cardiovascular
"AORTIC VALVE INSUFFICENCY\AORTIC VALVE REPLACEMENT REDO, ? BENTAL PROCEDURE /SDA",cardiovascular
COLITIS WITH ANEMIA,gastrointestinal
RETROPERITONEAL HEMORRHAGE;TELEMETRY,trauma_injury
GOODPASTURES,renal
FEVER-FLU,infectious
"CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT,  ? AVR /SDA",cardiovascular
DRAINAGE OF BURRHOLE,neurological
CALVARIAL LESION/SDA,oncology
ACUTE MYELOGENOUS LEUKEMIA\CHEMO,hematologic
INTRACARANIAL HEMORRHAGE,neurological
ATRIAL FLUTTER\ATRAIL FLUTTER ABLATION,cardiovascular
ANEMIA;PNEUMONIA,infectious
NON HEALING ULCER/SDA,dermatologic
LOW PLATE COUNT,hematologic
PULMONARY FIBROSIS; PNEUMONIA,respiratory
LEFT SUPRACLINOID ARTERY ANEURYSM/SDA,neurological
MENINGOMA/SDA,neurological
ASTHMA; S/P ANGINA; CHF,cardiovascular
MYOCARDIAL INFRCTION,cardiovascular
MELANOMA LOWER BACK/SDA,oncology
CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT; PFO CLOSURE; ? AVR/SDA,cardiovascular
INABILITY TO WALK;VANCOMYCIN RESISTANT ENTEROCOCCUS,infectious
MITRAL VALVE DISEASE\MITRAL VALVE REPLACEMENT /SDA,cardiovascular
RIGHT PARIETAL METASTATIC LESION/SDA,oncology
PNEUMONIA;BRONCHIECTASIS,respiratory
HEART FAILURE;CARDIAC ARREST\INTRA-AORTIC BALLOON PUMP PLACEMENT,cardiovascular
PEDESTRIAN STRUCK BU MOTORCYCLE,trauma_injury
CORONARY ARTERY DISEASE;ELEVATED TROPONIN,cardiovascular
HEADACH,symptoms_unspecified
MR\ ? MITRAL VALVE REPLACEMENT; HOMOGRAFT ROOT REPLACEMENT/SDA,cardiovascular
? GATROINTESTINAL BLEED,gastrointestinal
FEVER; PANCREATITIS; ETHANOL WITHDRAWAL,gastrointestinal
CORONARY ARTERY DISEASE\PATENT FORAMENOVALE CLOSURE; CORONARY ARTERY BYPASS GRAFT /SDA,cardiovascular
ESOPHAGEAL ADENOCARCINOMA AT GE JUNCTION/SDA,oncology
"SEIZURE,RESPIRATORY FAILURE",neurological
CAROTID STENOSIS\LEFT CAROTID ANGIOGRAM VIA RIGHT GROIN ACCESS,cardiovascular
CEREBROVASCULAR ACCIDENT;CHF,neurological
CORONARY ARTERY DISEASE;SEVERE AORTIC STENOSIS,cardiovascular
END STAGE KIDNEY DISEASE,renal
THORACIC ANEURYSM/SDA\REDO STERNOTOMY; REPAIR AORTIC ARCH ANEURYSM,cardiovascular
THROMBOCYTOPENIA;NEUTROPENIA,hematologic
"ACUTE RESPIRATORY DISTRESS SYNDROME,MESENTERIC THROMBOSIS",respiratory
MALIGNANT VERTIBRAL NEOPLASM/SDA,oncology
ILEOSTOMY W/ COMPLICATION/SDA,gastrointestinal
HIP FRACTURE/ESRD,musculoskeletal
S/P MEGA COLON/SDA,gastrointestinal
SEIZURES;OVERDOSE,neurological
RECURRENT RIGHT RETROPERITONEAL SARCOMA/SDA,oncology
"SQUAMOUS CELL CARCINOMA, ORAL CAVITY/SDA",oncology
CREST SYNDROME; NECROTIZING BRONCHIAL STUMP,respiratory
"PNEUMONIA,DEHYDRATION,ANEMIA",infectious
AORTIC ANEURYSM\BENTALL PROCEDURE; MECHANICAL VALVE/SDA,cardiovascular
PANNUS ULCERS,dermatologic
UNRESPONSIVE/INTUBATED,symptoms_unspecified
"OSTEOARTHRITIS, LEFT HIP/SDA",musculoskeletal
HEROIN OVERDOSE-ARDS,toxicology_poisoning
LIVER CONTUSION,hepatobiliary
AMS/UTI,infectious
RULE OTU CORONARY ARTERY DISEASE; SEVERE MITRAL REGURGITATION\RIGHT AND LEFT HEART CATHETERIZATION,cardiovascular
PERIPHERAL VASCULAR DISEASE;HYPERTENSION\CATH,cardiovascular
C4 FRACTURE;SYNCOPE,trauma_injury
S/P AV GRAFT,renal
RESPIRATORY FAILURE;RULE-OUT MYOCARDIAL INFARCTION,respiratory
LEFT EXTREMITY EDEMA,other
KNEE AMPUTATION,trauma_injury
"STROKE,RIGHT MCA",neurological
ASCENDING AORTIC ANEURYSM\ASCENDING AORTA REPLACEMENT,cardiovascular
METASTATIC PANCREATIC CANCER,oncology
COMMON BILE DUCT STONE;STONE EXTRACTION;SPHINCTEROTOMY,gastrointestinal
MULTIPLE INJURIES,trauma_injury
BRAIN  MASS,neurological
"ABDOMINAL TRAUMA,IMPALED BRANCH",trauma_injury
AIRWAY OBSTRUCTION\BRONCHOSCOPY RIGID W/MICRODEBRIDER;  MITOMYCIN C; ? BALLOON DILITATION; ? STENT PLACEMENT,respiratory
FEVER;SEIZURE,neurological
GALLBLADDER INFECTION,infectious
"BULEMIA,HYPOKALEMIA",psychiatric
ASCENDING AORTIC ANEURYSM\REPLACEMENT ASCENDING AORTA & HEMIARCH;? AVR/SDA,cardiovascular
PNEUMONIA;COPD EXACERBATION,respiratory
NEEDS CASPOFUNGIN DESENSITIVITY,infectious
CANCER/RENAL FAILURE,oncology
GASTROINTESTINAL BLEED-SUBDURAL BLEED,gastrointestinal
URINARY TRACT INFECTION;FEMUR FX;S/P FALL,infectious
PERSISTENT PNEUMONIA,infectious
S/P  FALL,trauma_injury
STATUS POST VENTRICULAR FIBRILLATION ARREST,cardiovascular
RT VERTEBRAL ARTERY STENOSIS,neurological
RIGHT INTERNAL ARTERY STENOSIS;CHEST PAIN;LOWER EXTREMITY CLAUDICATION,cardiovascular
LEFT MAINSTEM OBSTRUCTION,cardiovascular
? INTRACRANIAL HEMORRHAGE,neurological
MITRAL STENOSIS\MITRAL VALVE REPLACEMENT;CORONARY ARTERY BYPASS GRAFT; ?,cardiovascular
NEOPLASM SOFT TISSUE HEAD/SDA,oncology
NEW ONSET ANGINA\CATH,cardiovascular
CORONARY ARTERY DISEASE;MITRAL REGURGITATION\CORONARY ARTERY BYPASS GRAFT WITH MVR /SDA,cardiovascular
IDIOPATHIC PULMONARY HEMOSIDEEROSIS,respiratory
HYDROCEPHALIC/SDA,neurological
VENTRICULAR TACHYCARDIA\TEE; VENTRICULAR TACHYCARDIA ABLATION; ? PVI **REMOTE WEST**/SDA,cardiovascular
PNEUMONIA-FEVER-POST-OP,infectious
ISCHEMIS BOWEL,gastrointestinal
SKULL INFECTION,infectious
POSTOPERATIVE INFECTION/SDA,postoperative_surgical
"ACUTE RESPIRATORY DISTRESS,FEVER",respiratory
SUBURAL HEMATOMA;TELEMETRY,neurological
URETERAL STONES LEFT,genitourinary
NON-HODGKINS LYMPHOMA\BONE MARROW TRANSPLANT,hematologic
"OPEN FRACTURE, NULTIPLE SPINE FRACTURES",trauma_injury
ACUTE MYOCARDIAL INFARCTION;S/P VFIB ARREST,cardiovascular
"CORONARY ARTERY DISEASE,PERFORATED LAD",cardiovascular
R. THUMB AMPUTATION,trauma_injury
ACUTE EPIGLOTTITIS,infectious
CORONARY ARTERY DISEASE;ABNORMAL STRESS TEST\CATH,cardiovascular
STATUS POST MOTOR VEHICLE ACCIDENT; EXPLORATORY LAPAROTOMY,trauma_injury
SIGMOID COLON CANCER/SDA,oncology
FEVER TACHY CARDIA,symptoms_unspecified
PANCREATIC TAIL MASS/SDA,oncology
"BRAIN TUMOR,INTRA CEREBRAL HEMORRHAGE",oncology
BACTERIEMA,infectious
GASTRIC BLEED,gastrointestinal
HYPOTENSION;GI BLEED;ACUTE RENAL FAILURE,renal
SUBACUTE SUBDURAL HEMATOMA,neurological
ACUTE MYOCARDIAL INFARCTION;AFIB W/RVR,cardiovascular
LHC;CATHPLACEMENT,cardiovascular
UPPER GASTROINTESTINAL BLEED/ FEVER,gastrointestinal
S/P 30 FEET FALL,trauma_injury
ASCENDING PARALYSIS;TELEMETRY,neurological
L2 BURST FRACTURE,trauma_injury
